Script started on 2025-10-23 14:49:29+02:00 [TERM="xterm-256color" TTY="/dev/pts/19" COLUMNS="134" LINES="71"]
[?2004h[ep12435347:~/Exercises/12435347/1:191] /usr/bin/ time[K[K[K[K[Ktime -v /use[Kr.[K/ftp/pub/anton.[K/i[Klvas/efficient/25.[K/q1a
[?2004l	Command being timed: "/usr/ftp/pub/anton/lvas/efficient/25/q1a"
	User time (seconds): 0.05
	System time (seconds): 0.26
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.32
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 983280
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 245502
	Voluntary context switches: 6
	Involuntary context switches: 1
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
[?2004h[ep12435347:~/Exercises/12435347/1:192] /usr//[Kbin/time -v /usr/ftp/pii[K[Kub/anton/lvas/efficient/25/q1b
[?2004l	Command being timed: "/usr/ftp/pub/anton/lvas/efficient/25/q1b"
	User time (seconds): 0.00
	System time (seconds): 0.00
	Percent of CPU this job got: 3%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.41
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 8312
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1756
	Voluntary context switches: 16
	Involuntary context switches: 0
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
[?2004h[ep12435347:~/Exercises/12435347/1:193] /use[Kr/ftp[K[K[Kvin[K[K[Kv[Kbin/time =[K-[K-v /usr/ftpp[K/pi[Kub/anr[Kti[Kon/lvs[Kas/efficient/25/q1c
[?2004l	Command being timed: "/usr/ftp/pub/anton/lvas/efficient/25/q1c"
	User time (seconds): 0.46
	System time (seconds): 0.00
	Percent of CPU this job got: 297%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.15
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 8344
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 5179
	Voluntary context switches: 9
	Involuntary context switches: 9
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
[?2004h[ep12435347:~/Exercises/12435347/1:194] /use[Kr/bin/ri[K[Ktime.[K/[K -v /i[Kuse[Krt[K/ftp/pub/am[Kntom[Kn[Kn/lvas/efficient/25/q1d
[?2004l	Command being timed: "/usr/ftp/pub/anton/lvas/efficient/25/q1d"
	User time (seconds): 0.00
	System time (seconds): 0.37
	Percent of CPU this job got: 98%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.37
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1924
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 176
	Voluntary context switches: 15
	Involuntary context switches: 0
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
[?2004h[ep12435347:~/Exercises/12435347/1:195] /s[Kusr.[K/bin/time/[K -v /usr/ftp/pi[Kub/anton/lvas/efficient/35[K[K25/q1e
[?2004l	Command being timed: "/usr/ftp/pub/anton/lvas/efficient/25/q1e"
	User time (seconds): 0.35
	System time (seconds): 0.01
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.36
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 9532
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1537
	Voluntary context switches: 9
	Involuntary context switches: 4
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
[?2004h[ep12435347:~/Exercises/12435347/1:196] exit
[?2004lexit

Script done on 2025-10-23 15:43:23+02:00 [COMMAND_EXIT_CODE="0"]
